id,keywords,pub_date,web_url,document_type,news_desk,section_name,subsection_name,type_of_material
nyt://article/e76f3820-4828-568b-8499-e79e70af0eda,"[('persons', 'Wallace, Perry (1948-2017)'), ('subject', 'Basketball'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Segregation and Desegregation'), ('organizations', 'Southeastern Conference'), ('organizations', 'Vanderbilt University')]",2017-12-07T23:42:22+0000,https://www.nytimes.com/2017/12/07/obituaries/perry-wallace-college-basketball-pioneer-is-dead-at-69.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/6af62479-f1d8-5ddf-9219-1fd85d2995b0,"[('persons', 'Wolfe, Leslie R'), ('subject', 'Deaths (Obituaries)'), ('subject', ""Women's Rights""), ('subject', 'Discrimination'), ('organizations', 'Center for Women Policy Studies')]",2017-12-09T00:02:48+0000,https://www.nytimes.com/2017/12/08/obituaries/leslie-wolfe-who-pursued-equality-for-women-dies-at-74.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/2dd87418-f47f-5d21-9990-fa44aa590060,"[('persons', 'Steinkraus, Bill'), ('subject', 'Horsemanship and Equestrian Events'), ('subject', 'Olympic Games'), ('organizations', 'International Equestrian Federation'), ('subject', 'Deaths (Obituaries)')]",2017-12-07T23:32:19+0000,https://www.nytimes.com/2017/12/07/obituaries/bill-steinkraus-dead-olympic-equestrian.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/f26196b0-fa2e-55a0-8935-e67572c4a01a,"[('persons', 'Stallard, Tracy'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Baseball'), ('organizations', 'Boston Red Sox'), ('organizations', 'New York Yankees'), ('persons', 'Maris, Roger')]",2017-12-09T00:02:35+0000,https://www.nytimes.com/2017/12/08/obituaries/tracy-stallard-who-gave-up-historic-maris-homer-dies-at-80.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/e720d2c7-efbe-5d40-af0b-2d01efef639b,"[('persons', 'Meyer, Ronald S (1941-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Football (College)'), ('subject', 'Coaches and Managers'), ('organizations', 'Southern Methodist University'), ('organizations', 'Indianapolis Colts'), ('organizations', 'New England Patriots')]",2017-12-08T20:44:35+0000,https://www.nytimes.com/2017/12/08/obituaries/ron-meyer-dead-coach-led-smu-to-1981-championship.html,article,Sports,Obituaries,,Obituary (Obit)
nyt://article/a6146b3e-abd3-5fc1-b614-3df102625d73,"[('persons', 'Finney, Ernest Jr (1931-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Civil Rights Movement (1954-68)'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Legal Profession')]",2017-12-07T19:21:02+0000,https://www.nytimes.com/2017/12/07/obituaries/ernest-finney-jr-rights-lawyer-in-jail-not-bail-case-dies-at-86.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/44086599-1c05-582b-bc70-d669cd1c6cd1,"[('persons', 'Gass, William H'), ('subject', 'Writing and Writers'), ('subject', 'Books and Literature'), ('creative_works', 'The Tunnel (Book)'), ('subject', 'Deaths (Obituaries)')]",2017-12-07T17:40:38+0000,https://www.nytimes.com/2017/12/07/obituaries/william-h-gass-acclaimed-postmodern-author-dies-at-93.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/ea55fe0b-5bb2-5057-ad94-0856185128ca,"[('persons', 'Whitten, Les'), ('subject', 'News and News Media'), ('subject', 'Deaths (Obituaries)')]",2017-12-07T23:44:08+0000,https://www.nytimes.com/2017/12/07/obituaries/les-whitten-muckraking-columnist-and-novelist-dies-at-89.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/343fc55d-7d68-525e-a62c-910b871f76ad,"[('persons', 'Carroll, Maurice'), ('subject', 'News and News Media'), ('subject', 'Polls and Public Opinion'), ('organizations', 'Quinnipiac University'), ('subject', 'Deaths (Obituaries)')]",2017-12-06T22:19:27+0000,https://www.nytimes.com/2017/12/06/obituaries/maurice-carroll-political-reporter-and-pollster-dies-at-86.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/bfe7c58f-ed26-5d8f-bdcb-85b413e5eb87,"[('persons', 'Hallyday, Johnny'), ('subject', 'Pop and Rock Music'), ('subject', 'Actors and Actresses'), ('glocations', 'France'), ('subject', 'Deaths (Obituaries)')]",2017-12-06T03:07:55+0000,https://www.nytimes.com/2017/12/05/obituaries/johnny-hallyday-dead-french-elvis.html,article,Obits,Obituaries,,Obituary (Obit)
